Code,Nome,Nome fantasia,Governança
UQMU,1461 INVESTIMENTOS S.A,1461 INVEST,-
BRAV,3R PETROLEUM ÓLEO E GÁS S.A,BRAVA,NM
PTGU,3R POTIGUAR S.A,3RPOTIGUAR,-
TZRD,3Z REALTY DESENVOLVIMENTO IMOBILIARIO S/A,3ZREALTY,-
QVQP,524 PARTICIPACOES S.A.,524 PARTICIP,-
NNPY,99 PAY INSTITUICAO DE PAGAMENTO S.A.,99 PAY,-
GRDR,A GERADORA ALUGUEL DE MAQUINAS S.A.,GERADORA,-
BODY,A BODYTECH PARTICIPACOES S.A.,BODYTECH,-
AACL,A. ANGELONI & CIA LTDA,AANGELONI,-
AYOS,A. YOSHII ENGENHARIA E CONSTRUÇÕES LTDA,AYOSHII,-
ATBC,AB CONCESSOES S.A.,ABCONCESSOES,-
ABAP,ABA PORTO PARTICIPACOES S/A,ABAPORTO,-
ABPR,ABAPORU PARTICIPACOES S/A,ABAPORU,-
ABCC,ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA,ABCBRASIL,-
ABMX,ABIMEX IMPORTACAO E EXPORTACAO S/A,ABIMEX,-
ABGD,ABRDN PHYSICAL GOLD SHARES ETF,ABDEN GOLD,DRE
SIVR,ABRDN PHYSICAL SILVER SHARES ETF,ABDEN SILV,DRE
ABRL,ABRIL COMUNICACOES S.A.,ABRIL COM,MB
ACEC,ACECO TI S/A,ACECOTI,-
FCEF,ACEF S.A.,ACEF,-
ACHE,ACHE LABORATORIOS FARMACEUTICOS S.A.,ACHELABORAT,-
ACOV,AÇO VERDE DO BRASIL S.A.,ACO VERDE,-
ACQO,ACQIO HOLDING PARTICIPACOES S.A.,ACQIO HOLDIN,-
ACPE,AÇU PETROLEO S.A.,ACU PETROLEO,-
QUAT,AÇUCAREIRA QUATA S.A.,QUATA,-
ADMA,ADAMI S.A. - MADEIRAS,ADAMI,-
ADAG,ADECOAGRO VALE DO EVINHEMA S.A.,ADECOAGRO VA,-
ADGE,ADMINISTRADORA GERAL DE ESTACIONAMENTOS S.A,ADM ESTACIO,-
AEGP,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,AEGEA,-
AERI,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERIS,NM
VRCP,AEROPORTOS BRASIL - VIRACOPOS S.A.,VIRACOPOS,-
AENB,AEROPORTOS DO NORDESTE DO BRASIL S.A.,AEROPORTOSDO,-
AESB,AES BRASIL ENERGIA S.A.,AES BRASIL,NM
AESO,AES BRASIL OPERAÇÕES S.A.,AESOPERACOES,-
AEAB,AES CAJUINA AB1 HOLDINGS S.A.,AES CAJUINA,-
AHBR,AES HOLDINGS BRASIL S.A.,AES HOLD BR,-
TCII,AES Tucano Holding II S.A.,AESTUCHOLDII,-
AETE,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA,AETEAMAZONIA,-
